"Country_Name",Lat,Lon,"bcg_iprange","bcg_officecode","bcg_officename","bcg_region","city_name"
"United States","41.8832","-87.6324","10.93.182.0/23",ADC2,"ADC2 DMZ_Wordpress","Data Centers",Chicago
"United States","41.8832","-87.6324","10.90.224.0/19",ADC2,"ADC2 VoIP","Data Centers",Chicago
"United States","41.8832","-87.6324","10.193.32.0/19",ADC2,"ADC2 VPN","Data Centers",Chicago
"United States","41.8832","-87.6324","10.193.64.0/19",ADC2,"ADC2 VPN","Data Centers",Chicago
"United States","41.8832","-87.6324","10.14.32.0/19",CHI,Chicago,AMR,Chicago
"United States","41.8832","-87.6324","10.227.32.0/19",CHK,"Chicago Knowledge Analytics",AMR,Chicago
Italy,"45.3113","11.3855","10.61.32.0/19",COL,Cologna,EUR,"Cologna Veneta"
Germany,"50.9405","6.9599","10.221.32.0/19",PCL,"Platinion Cologne",EUR,Cologne
Denmark,"55.6758","12.569","10.35.32.0/19",CPH,Copenhagen,EUR,Copenhagen
"United States","32.7758","-96.7967","10.15.32.0/19",DAL,Dallas,AMR,Dallas
"United States","41.5431","-90.5908","10.103.32.0/19",DAV,Davenport,AMR,Davenport
"United States","39.73915","-104.9847","10.241.32.0/19",DEN,Denver,AMR,Denver
"United States","42.3329","-83.0478","10.23.32.0/19",DET,Detroit,AMR,Detroit
Qatar,"25.28545","51.53096","10.214.32.0/19",DOH,Doha,EUR,Doha
"United Arab Emirates","25.07725","55.30927","10.206.32.0/19",DBI,Dubai,EUR,Dubai
Germany,"51.225","6.7757","10.51.32.0/19",DUS,Dusseldorf,EUR,"Düsseldorf"
Germany,"50.1109","8.6795","10.91.32.0/19",EDC2,"EDC2 Frankfurt","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.108.0/22",EDC2,"EDC2 LB_NW","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.112.0/23",EDC2,"EDC2 VCoIP","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.114.0/23",EDC2,"EDC2 DB_NW","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.122.0/23",EDC2,"EDC2 NW_MGT","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.128.0/19",EDC2,"EDC2 DMZ_PROD","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.160.0/22",EDC2,"EDC2 DMZ_TEST","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.164.0/22",EDC2,"EDC2 DMZ_DEV","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.168.0/22",EDC2,"EDC2 DMZ_Vendor","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.172.0/22",EDC2,"EDC2 LAN_TEST","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.176.0/22",EDC2,"EDC2 LAN_DEV","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.180.0/23",EDC2,"EDC2 DMZ_Services","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.91.224.0/21",EDC2,"EDC2 VoIP","Data Centers",Frankfurt
Germany,"50.1109","8.6795","10.52.32.0/19",FRA,Frankfort,EUR,Frankfurt
Switzerland,"46.2038","6.14","10.11.32.0/19",GVA,Geneva,EUR,Geneva
Germany,"53.55073","9.99302","10.53.32.0/19",HAM,Hamburg,EUR,Hamburg
Finland,"60.1698","24.9381","10.33.32.0/19",HEL,Helsinki,EUR,Helsinki
Vietnam,"10.82302","106.62965","10.132.128.0/17",HCM,"Ho Chi Minh",ASP,"Ho Chi Minh City"
"Hong Kong","22.396428","114.109497","10.71.32.0/19",HKG,"Hong Kong",ASP,"Hong Kong"
"United States","29.7628","-95.3831","10.21.32.0/19",HOU,Houston,AMR,Houston
India,"28.6139","77.2089","10.95.32.0/19",IGS,"India Global Services",ASP,"New Delhi"
India,"28.6139","77.2089","10.130.32.0/19",IKA,"India Knowledge Analytics",ASP,"New Delhi"
Turkey,"41.013","28.9638","10.64.32.0/19",ISL,Istanbul,EUR,Istanbul
Indonesia,"-6.21462","106.84513","10.77.32.0/19",JAK,Jakarta,ASP,Jakarta
"South Africa","-26.2015","28.0455","10.26.32.0/19",JNB,Johannesburg,EUR,Johannesburg
Malaysia,"3.1412","101.68653","10.72.32.0/19",KLP,"Kuala Lumpur",ASP,"Kuala Lumpur"
Japan,"35.1063","135.7274","10.141.32.0/19",KYO,Kyoto,ASP,Kyoto
Nigeria,"6.4511","3.3884","10.195.32.0/19",LAG,"Lagos Nigeria",EUR,Lagos
Portugal,"38.71667","-9.13333","10.32.32.0/19",LIS,Lisbon,EUR,Lisbon
"United Kingdom","51.5002","-0.1262","10.201.32.0/19",DVL,"Digital Ventures London - new site",EUR,London
"United Kingdom","51.5002","-0.1262","10.202.32.0/19",ELN,"Expand Research London",EUR,London
"United Kingdom","51.5002","-0.1262","10.207.32.0/19","GSL (new office)","GS London",EUR,London
"United Kingdom","51.5002","-0.1262","10.197.32.0/19",LGS,"London Global Services",EUR,London
Peru,"-12.0433","-77.0283","10.229.32.0",LIM,Lima,"10.93.46.172",Lima
"United Kingdom","51.5002","-0.1262","10.96.32.0/19",LKA,"London Knowledge Analytics",EUR,London
"United Kingdom","51.5002","-0.1262","10.40.32.0/19",LON,London,EUR,London
"United States","34.0522","-118.2433","10.7.32.0/19",LOS,"Los Angeles",AMR,"Los Angeles"
Spain,"40.4167","-3.7003","10.210.32.0/19",GMA,"Gamma Madrid",EUR,Madrid
Spain,"40.4167","-3.7003","10.41.32.0/19",MAD,Madrid,EUR,Madrid
Spain,"40.4167","-3.7003","10.208.32.0/19",MKA,"Madrid Center for Knowledge and Analytics",EUR,Madrid
"United States","33.8851","-118.4097","10.224.32.0/19",DGB,"Digital Ventures Manhattan Beach",AMR,"Manhattan Beach"
Philippines,"14.5823","120.9748","10.138.32.0/19",MAN,Manila,ASP,Manila
Philippines,"14.5823","120.9748","10.110.32.0/19",MNL,"Manilla Service Center",ASP,Manila
Australia,"-37.8136","144.9631","10.80.32.0/19",MEL,Melbourne,ASP,Melbourne
Mexico,"19.42847","-99.12766","10.24.32.0/19",MEX,"Mexico City",AMR,"Mexico City"
"United States","25.7751","-80.1947","10.22.32.0/19",MIA,Miami,AMR,Miami
Italy,"45.4636","9.1881","10.46.32.0/19",MIL,Milan,EUR,Milan
"United States","44.9833","-93.2667","10.239.32.0/19",MIN,Minneapolis,AMR,Minneapolis
Mexico,"25.6828","-100.3116","10.25.32.0/19",MON,Monterrey,AMR,Monterrey
Canada,"45.5091","-73.5534","10.4.32.0/19",MTL,Montreal,AMR,Montreal
Russia,"55.75222","37.61556","172.21.0.0/17",AWS,"US East (Virginia)",Cloud,Moscow
Russia,"55.75222","37.61556","172.21.128.0/18",AWS,"US East (Virginia)",Cloud,Moscow
